year,country_code,gdp_usd,gdp_per_capita,fdi_pct_gdp,inflation_rate,unemployment_rate,real_economic_growth_indicator
2013,SXM,1022905027.93296,27942.8805401415,4.62971054068815,2.52864788538364,,11050.522574400302
2014,SXM,1245251396.64804,33043.6883812669,3.83131449080305,1.8867546627522,,17513.50561554528
2015,SXM,1253072625.69832,32274.8905524359,2.21622826571556,0.330027165141339,,97794.6483242181
2016,SXM,1263687150.83799,31616.6816992667,3.28824049513704,0.111682655737255,,283093.927974351
2017,SXM,1191620111.73184,29369.0568278169,5.39167612330051,2.19201010963043,,13398.230555044514
2018,SXM,1185474860.3352,29160.1038110689,-4.04184728652215,,,
2019,SXM,,,,,,
2020,SXM,,,,,,
2000,TCA,,,,,,
2001,TCA,358744800.0,16625.488923904,,,,
2002,TCA,366707910.0,15785.9625484288,,,,
2003,TCA,409753640.0,16384.902431222,,,,
2004,TCA,485598810.0,18181.0928900371,,,,
2005,TCA,578645760.0,20533.1876086725,,,,
2006,TCA,721891470.0,24559.1437027965,,,,
2007,TCA,773489740.0,25457.9778165421,,,,
2008,TCA,862683630.0,27650.1163461538,,,,
2009,TCA,703175750.0,22020.3472896377,,,,
2010,TCA,686787810.0,21029.6959397391,,,,
2011,TCA,728789570.0,21839.0090198076,,,,
2012,TCA,727161000.0,21345.0259782194,,,,
2013,TCA,754238000.0,21715.3139665448,,,,
2014,TCA,841070000.0,23778.5191258375,-8.2672072479104,,,
2015,TCA,942070000.0,26183.8850440535,-7.41855700744106,,,
2016,TCA,1032452000.0,28241.479293178,1.60685436223669,,,
2017,TCA,1022365000.0,27545.1287854295,2.15852459737961,,,
2018,TCA,1113178000.0,29553.1366979053,3.79337356649161,,,
2019,TCA,1197415000.0,31350.8666282662,2.25165599228338,,,
2020,TCA,924583000.0,23879.9266491038,3.29001169175726,,,
2000,TTO,8154338232.95978,6435.13421201268,8.33298811676719,3.55541319666879,12.1000003814697,1809.9539648561847
2001,TTO,8824873259.32105,6939.82847117988,9.46075960583206,5.53665326322303,10.8800001144409,1253.433823872876
2002,TTO,9008273720.93395,7053.08737085832,11.1874930893587,4.15005861664714,10.3900003433228,1699.5151207181157
2003,TTO,11305459802.0683,8807.86606828197,7.14964286416839,3.81110624396873,10.4799995422363,2311.104835301001
2004,TTO,13280275123.0354,10293.8692465675,7.51565755041278,3.72154938995966,8.32999992370605,2766.017098775916
2005,TTO,15982282462.3786,12327.2807128582,5.87963579177132,6.87453459583515,7.94999980926514,1793.1804023979353
2006,TTO,18369361094.3886,14102.5932894722,4.80528416565147,8.32960351465344,6.26999998092651,1693.068975571636
2007,TTO,21641620049.9352,16539.8907485461,3.83520271627024,7.89438834757306,5.53999996185303,2095.145313396052
2008,TTO,27871587349.5413,21204.0081810259,10.0489432656806,12.0303445477177,4.63000011444092,1762.5437157615368
2009,TTO,19172165225.5015,14514.2406135579,3.69859111717232,6.97808725251547,5.28000020980835,2079.974080049771
2010,TTO,22157948396.2042,16683.3930629542,2.47947143018943,10.5492003179987,4.03000020980835,1581.4841466693492
2011,TTO,25433011405.3017,19034.1207062684,0.161394393305952,5.10713289264559,3.4300000667572,3726.967969382205
