year,country_code,co2_emissions_kt,co2_emissions_per_capita_tons,renewable_energy_pct,forest_area_pct,green_transition_score,co2_intensity_per_million_gdp
2013,CPV,510.0,0.9965998358541446,25.9407005310059,10.8238213399504,25.940700530934407,0.2756056506213436
2014,CPV,500.0,0.964736935532419,26.1145992279053,10.8982630272953,26.114599227835093,0.2688318725097003
2015,CPV,500.0,0.952852841407173,26.3490009307861,10.9727047146402,26.3490009307036,0.3131261961932698
2016,CPV,550.0,1.035508528824792,24.6245994567871,11.0471464019851,24.62459945670566,0.3307278636563544
2017,CPV,590.0,1.0976764607934155,22.8763999938965,11.12158808933,22.87639999382017,0.333650179607665
2018,CPV,620.0,1.1402005281703091,22.99880027771,11.1960297766749,22.99880027763749,0.3152804393208331
2019,CPV,,,,11.2704714640199,,
2020,CPV,,,,11.3449131513648,,
2000,ERI,640.0,0.2791818053727666,76.6192016601563,11.0738613861386,76.6192016594621,0.9060396973939188
2001,ERI,700.0,0.2947714699958436,74.6828002929688,11.0425742574257,74.68280029227395,0.9303951510131468
2002,ERI,680.0,0.2740765132953307,74.665901184082,11.0112871287129,74.66590118338584,0.9323736162039464
2003,ERI,690.0,0.2652854394434081,74.8897018432617,10.98,74.8897018426679,0.7928777030682898
2004,ERI,680.0,0.2500175563798781,69.9140014648438,10.9487128712871,69.91400146441514,0.6131351554250041
2005,ERI,600.0,0.212265177225503,74.6510009765625,10.9174257425743,74.65100097615472,0.546236209101726
2006,ERI,520.0,0.1781914866275856,78.3410034179688,10.8861386138614,78.34100341763246,0.4293398006710889
2007,ERI,510.0,0.1701962930579935,79.796501159668,10.8548514851485,79.79650115935921,0.3869574134101949
2008,ERI,450.0,0.1469252463936381,81.7189025878906,10.8235643564356,81.71890258762414,0.3260423501480377
2009,ERI,470.0,0.15064488833047,81.6257019042969,10.7922772277228,81.62570190409028,0.2531378931194701
2010,ERI,500.0,0.1577069659482273,81.0691986083984,10.7609900990099,81.06919860814338,0.3145612714208556
2011,ERI,580.0,0.1804622259891119,79.7783966064453,10.729702970297,79.77839660622122,0.2808714495392039
2000,ETH,3560.0,0.0537562894292379,95.5544967651367,18.5285,95.554496764724,0.4319134488166724
2001,ETH,4400.0,0.0645545380358419,94.5979995727539,18.4555,94.59799957224824,0.5345432790772023
2002,ETH,4570.0,0.065153462065359,94.5302963256836,18.3825,94.5302963251333,0.5821055779109657
2003,ETH,5020.0,0.0695574281160352,94.2341995239258,18.3095,94.23419952337724,0.58211731210465
2004,ETH,5330.0,0.0717946568288141,94.1320037841797,16.1490091804264,94.13200378368448,0.5260982609891383
2005,ETH,5050.0,0.0661459604269021,94.725700378418,16.0836040748874,94.72570037803226,0.4072206444208468
2006,ETH,5400.0,0.0687992699123401,94.5418014526367,16.0190119749333,94.5418014523026,0.3533832095629641
2007,ETH,6070.0,0.0752407738851991,94.160400390625,15.9547531118246,94.16040039033496,0.3080027417814313
2008,ETH,6880.0,0.0829753053430934,94.0930023193359,15.8903250148253,94.09300231909673,0.2541848822110172
2009,ETH,6930.0,0.0813056557305241,94.1752014160156,15.8256966388377,94.1752014158144,0.2136423488095595
2010,ETH,6470.0,0.0738247695725837,94.1148986816406,15.7612988643535,94.11489868143718,0.216143693389114
2011,ETH,7540.0,0.0836477260110525,93.5616989135742,15.6972839535666,93.56169891335342,0.2359733328513875
2012,ETH,8460.0,0.0912355801680248,93.2962036132813,15.6326190476123,93.29620361309904,0.1953326964729141
2013,ETH,10280.0,0.1077728629880971,92.4905014038086,15.5679306314371,92.49050140360904,0.215747868713443
